#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  60
# Band-Index:    1
   1.05300    -55.022605  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.06331    -55.022604  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.07361    -55.022598  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.08392    -55.022589  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.09422    -55.022576  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.10453    -55.022560  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.11483    -55.022541  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.12513    -55.022518  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.13544    -55.022492  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.14574    -55.022463  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.15605    -55.022430  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.16635    -55.022395  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.17666    -55.022356  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.18696    -55.022314  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.19726    -55.022269  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.20757    -55.022221  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   1.21787    -55.022170  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.22818    -55.022117  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.23848    -55.022062  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.24879    -55.022005  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.25909    -55.021944  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.26939    -55.021882  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.27970    -55.021818  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.29000    -55.021752  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.30031    -55.021685  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.31061    -55.021616  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.32092    -55.021546  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.33122    -55.021475  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.34152    -55.021402  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.35183    -55.021329  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.36213    -55.021255  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.37244    -55.021181  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.38274    -55.021107  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.39305    -55.021033  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.40335    -55.020959  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.41365    -55.020885  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.42396    -55.020812  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.43426    -55.020740  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.44457    -55.020669  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.45487    -55.020598  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   1.46517    -55.020530  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.47548    -55.020463  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.48578    -55.020397  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.49609    -55.020334  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.50639    -55.020273  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.51670    -55.020215  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.52700    -55.020160  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.53730    -55.020107  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.54761    -55.020057  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.55791    -55.020011  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.56822    -55.019968  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.57852    -55.019929  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.58883    -55.019895  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.59913    -55.019864  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.60943    -55.019837  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.61974    -55.019815  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.63004    -55.019797  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.64035    -55.019784  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.65065    -55.019776  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.66096    -55.019773  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.66096    -55.019773  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.68156    -55.019784  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.70217    -55.019818  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.72278    -55.019875  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.74339    -55.019957  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.76400    -55.020065  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.78461    -55.020201  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.80522    -55.020363  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.82582    -55.020554  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.84643    -55.020774  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   1.86704    -55.021023  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
